Course,Hole,Par,Distance,Course_Rating,Slope_Rating,LAT,LON
Waimairi Beach Golf Course ,4,4,398,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,5,3,159,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,6,4,375,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,7,5,440,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,8,3,133,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,9,4,295,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,10,4,347,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,11,4,319,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,12,3,180,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,13,5,436,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,14,4,274,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,15,4,388,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,16,4,316,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,17,3,150,68.7,116,-43.48113500900837,172.714495227238
Waimairi Beach Golf Course ,18,5,465,68.7,116,-43.48113500900837,172.714495227238
Kapiti Golf Course,1,4,269,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,2,3,173,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,3,4,249,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,4,3,168,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,5,4,363,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,6,4,223,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,7,4,262,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,8,4,281,34,102,-40.9296324816681,175.010768880422
Kapiti Golf Course,9,4,343,34,102,-40.9296324816681,175.010768880422
Levin Golf Course,1,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,2,3,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,3,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,4,5,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,5,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,6,5,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,7,3,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,8,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,9,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,10,5,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,11,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,12,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,13,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,14,3,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,15,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,16,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,17,4,,70.5,110,-40.59456674608564,175.234684182805
Levin Golf Course,18,4,,70.5,110,-40.59456674608564,175.234684182805
